review_id,case_id,token,year,source,machine_identity_status,machine_reason,human_identity_decision,confidence,reviewer_id,reviewer_attestation,notes
HIR-01,1602276b4e50ed386070fddf0c50016774f3c09bd0d036a221df2a1d4141ea51,PROTEST,2015,gazettelive.co.uk,identity_probable_manual_review_required,publisher_content_changed_requires_review,,,,,
HIR-02,a09f8e635c68d00d02c82f6030a069a7d664ccd5b370c11121e88b19e430ca65,PROTEST,2020,msn.com,identity_mismatch,publisher_path_changed,,,,,
HIR-03,fdf4e8e8fd4387f8734c40cffd6936c0ee5fb1897b6fe378d8225ba0880c4eaa,PROTEST,2020,bizpacreview.com,identity_probable_manual_review_required,publisher_content_changed_requires_review,,,,,
HIR-04,e6a28be6a9faf1c3fd76e41313504842e221e5b21a476f2c617fbfd5aecee8db,PROTEST,2025,channelstv.com,identity_mismatch,canonical_identity_conflict,,,,,
HIR-05,1ec0c4b40166feadfc0f984e68a4ea712c386ff88656039ce697b93dca22dedc,PROTEST,2025,tennesseedaily.com,identity_mismatch,publisher_path_changed,,,,,
HIR-06,194bde000746759edf4a787b6c7794c5153068695b5e7df3f74f308a69c1b654,PROTEST,2026,arabherald.com,identity_probable_manual_review_required,publisher_content_changed_requires_review,,,,,
HIR-07,fe06652e1d34ae9808843795bc3d7cbdbb40e7684a82819e68d5a2db6d01d0e0,PROTEST,2026,finanznachrichten.de,identity_probable_manual_review_required,publisher_content_changed_requires_review,,,,,
HIR-08,da06132eebc199a31debb4dec3b1d7d8d219ead51f657ce36e67f791b357281a,PROTEST,2026,bnionline.net,identity_probable_manual_review_required,identity_metadata_incomplete,,,,,
HIR-09,edbc803ec616278c7558e78af730e80e569da4259c446e53115641ec1aa59408,FOOD_SECURITY,2020,reliefweb.int,identity_probable_manual_review_required,publisher_content_changed_requires_review,,,,,
HIR-10,9dabe88f50f13946b4300f59fdf7e38a77f14607faf2ea0e327be8da96bd3a95,FOOD_SECURITY,2023,abc13.com,identity_mismatch,publisher_path_changed,,,,,
HIR-11,eb1ebf5f941b79628ac2d4238285747436e9d2f612f92e5bba43c89c9187815d,FOOD_SECURITY,2023,saudigazette.com.sa,identity_mismatch,canonical_identity_conflict,,,,,
HIR-12,bd15553ad11249ff596865b3989d098c94ada012f3e1d97e68f7dfc2883d246a,FOOD_SECURITY,2025,wctv.tv,identity_probable_manual_review_required,publisher_content_changed_requires_review,,,,,
HIR-13,e57372329cda46d28c0a73c0c736fe3ee4b972637c1fe25a4dbe705331b60948,FOOD_SECURITY,2026,havanatimes.org,identity_probable_manual_review_required,publisher_content_changed_requires_review,,,,,
HIR-14,144fa4dcca5c9b0b0e10d4d75d7652603832ff23bf92760aebc3861ba0fd7ca7,WB_2747_UNEMPLOYMENT,2016,msn.com,identity_mismatch,publisher_path_changed,,,,,
HIR-15,745ce5ea9b3a0e51f50d97462aac8078fa91098c90b12e4e77414578a6310c67,WB_2747_UNEMPLOYMENT,2016,iol.co.za,identity_mismatch,publisher_path_changed,,,,,
HIR-16,c53b0be8810a53fd1c46c0fa9107188b6dbdfc63af09b9cf9c5adabe43e981ec,WB_2747_UNEMPLOYMENT,2016,finanznachrichten.de,identity_probable_manual_review_required,publisher_content_changed_requires_review,,,,,
HIR-17,3c5e776fc8d12f0e141e02af5b93b4aeaa51f6ee32dbe0c0466e5ee4bbd6cd54,WB_2747_UNEMPLOYMENT,2020,standard.net,identity_probable_manual_review_required,identity_metadata_incomplete,,,,,
HIR-18,5c4aa90d7b080ec8063905db4414e74c31c17c3bfee3bd6e9e04c0cdad3400cb,WB_2747_UNEMPLOYMENT,2020,vanguardngr.com,identity_probable_manual_review_required,publisher_content_changed_requires_review,,,,,
HIR-19,2485b3733f5a41a3244eac8d6fa53fdb4bef5fc7cb95e6177809b76ff7481d46,WB_2747_UNEMPLOYMENT,2023,news4jax.com,identity_probable_manual_review_required,publisher_content_changed_requires_review,,,,,
HIR-20,e2a8726e66aabb9c17236bdeb90ff6e6b1e1414ceeb5516d9c8aad8a8f9e6826,WB_2747_UNEMPLOYMENT,2026,standardmedia.co.ke,identity_probable_manual_review_required,publisher_content_changed_requires_review,,,,,
HIR-21,9f8db6b75f5c0051eed87eb830e6e60dcf761759471b017beb84c5829dce74d7,WB_2747_UNEMPLOYMENT,2026,lethbridgeherald.com,identity_probable_manual_review_required,publisher_content_changed_requires_review,,,,,
HIR-22,b665673d306568e903dd6499c3bd5ff5f6b6ddde960b33fec5a2a94d9f6cdd36,WB_2747_UNEMPLOYMENT,2026,moneycontrol.com,identity_probable_manual_review_required,identity_metadata_incomplete,,,,,
